Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
SHY,LONG,Renta Fija (Bonds),2025-02-07 09:00:00,2025-02-14 16:00:00,78.2498,78.3739,766.78,60000.0,0.16%,95.14,ROTACION_TESORERIA,SMA200_FILTRO
OIL,LONG,Materia Prima,2025-02-12 00:00:00,2025-02-18 21:00:00,73.11,71.83,136.7802,10000.0,-1.75%,-175.08,TIEMPO_MAX,93.9800033569336%
ETH-USD,LONG,Criptomoneda,2025-02-21 01:00:00,2025-02-22 02:00:00,2743.968,2681.9175,3.6444,10000.0,-2.26%,-226.13,TIEMPO_MAX,94.97000122070312%
BTC-USD,LONG,Criptomoneda,2025-02-21 02:00:00,2025-02-22 03:00:00,98160.8906,96290.8594,0.1019,10000.0,-1.91%,-190.51,TIEMPO_MAX,93.29000091552734%
GOLD,LONG,Materia Prima,2025-03-05 20:00:00,2025-03-11 17:00:00,2931.6001,2923.8,3.4111,10000.0,-0.27%,-26.61,TIEMPO_MAX,95.56999969482422%
ETH-USD,LONG,Criptomoneda,2025-03-06 12:00:00,2025-03-07 13:00:00,2267.3171,2197.2051,4.4105,10000.0,-3.09%,-309.23,TIEMPO_MAX,96.83000183105469%
SHY,LONG,Renta Fija (Bonds),2025-03-14 09:00:00,2025-03-21 16:00:00,78.921,79.0742,760.25,60000.0,0.19%,116.48,ROTACION_TESORERIA,SMA200_FILTRO
GOLD,LONG,Materia Prima,2025-03-17 18:00:00,2025-03-21 16:00:00,3007.8,3021.6001,3.3247,10000.0,0.46%,45.88,TIEMPO_MAX,93.68000030517578%
GOLD,LONG,Materia Prima,2025-04-11 11:00:00,2025-04-17 09:00:00,3230.8,3335.1001,3.0952,10000.0,3.23%,322.83,TIEMPO_MAX,93.7300033569336%
BTC-USD,LONG,Criptomoneda,2025-04-13 02:00:00,2025-04-14 03:00:00,85373.5234,84494.9844,0.1171,10000.0,-1.03%,-102.91,TIEMPO_MAX,94.16999816894531%
SHY,LONG,Renta Fija (Bonds),2025-04-17 09:00:00,2025-04-25 16:00:00,79.5061,79.5926,754.66,60000.0,0.11%,65.25,ROTACION_TESORERIA,SMA200_FILTRO
GOLD,LONG,Materia Prima,2025-04-20 22:00:00,2025-04-23 13:00:00,3360.2,3292.9881,2.976,10000.0,-2.0%,-200.02,TRAILING_STOP,97.02999877929688%
ETH-USD,LONG,Criptomoneda,2025-04-24 03:00:00,2025-04-25 04:00:00,1768.3225,1766.4006,5.6551,10000.0,-0.11%,-10.87,TIEMPO_MAX,94.80999755859375%
ETH-USD,LONG,Criptomoneda,2025-04-26 18:00:00,2025-04-27 19:00:00,1804.9447,1807.5945,5.5403,10000.0,0.15%,14.68,TIEMPO_MAX,96.5%
GOLD,LONG,Materia Prima,2025-05-07 07:00:00,2025-05-13 05:00:00,3396.0,3261.0,2.9446,10000.0,-3.98%,-397.53,TIEMPO_MAX,94.61000061035156%
ETH-USD,LONG,Criptomoneda,2025-05-10 10:00:00,2025-05-11 11:00:00,2401.7866,2532.9658,4.1636,10000.0,5.46%,546.17,TIEMPO_MAX,97.33000183105469%
ETH-USD,LONG,Criptomoneda,2025-05-21 13:00:00,2025-05-22 14:00:00,2554.2129,2660.1213,3.9151,10000.0,4.15%,414.64,TIEMPO_MAX,92.73999786376953%
SHY,LONG,Renta Fija (Bonds),2025-05-22 09:00:00,2025-05-30 16:00:00,79.4558,79.6582,755.14,60000.0,0.25%,152.83,ROTACION_TESORERIA,SMA200_FILTRO
BTC-USD,LONG,Criptomoneda,2025-05-27 18:00:00,2025-05-28 19:00:00,109912.7109,107142.9922,0.091,10000.0,-2.52%,-251.99,TIEMPO_MAX,93.45999908447266%
ETH-USD,LONG,Criptomoneda,2025-06-04 16:00:00,2025-06-05 17:00:00,2659.939,2570.1799,3.7595,10000.0,-3.37%,-337.45,TIEMPO_MAX,95.94000244140625%
BTC-USD,LONG,Criptomoneda,2025-06-08 07:00:00,2025-06-09 08:00:00,105473.5078,106003.6094,0.0948,10000.0,0.5%,50.26,TIEMPO_MAX,94.1500015258789%
ETH-USD,LONG,Criptomoneda,2025-06-11 15:00:00,2025-06-12 16:00:00,2863.365,2742.7502,3.4924,10000.0,-4.21%,-421.23,TIEMPO_MAX,95.16999816894531%
BTC-USD,LONG,Criptomoneda,2025-06-11 17:00:00,2025-06-12 18:00:00,109120.0781,107499.3125,0.0916,10000.0,-1.49%,-148.53,TIEMPO_MAX,95.98999786376953%
ETH-USD,LONG,Criptomoneda,2025-06-25 04:00:00,2025-06-26 05:00:00,2436.5173,2475.5894,4.1042,10000.0,1.6%,160.36,TIEMPO_MAX,96.56999969482422%
SHY,LONG,Renta Fija (Bonds),2025-06-27 09:00:00,2025-07-07 16:00:00,80.0663,79.9245,749.38,60000.0,-0.18%,-106.28,ROTACION_TESORERIA,SMA200_FILTRO
GOLD,LONG,Materia Prima,2025-07-02 18:00:00,2025-07-09 16:00:00,3365.5,3320.7,2.9713,10000.0,-1.33%,-133.12,TIEMPO_MAX,97.16000366210938%
ETH-USD,LONG,Criptomoneda,2025-07-11 13:00:00,2025-07-12 14:00:00,3007.6833,2928.6538,3.3248,10000.0,-2.63%,-262.76,TIEMPO_MAX,97.12000274658203%
ETH-USD,LONG,Criptomoneda,2025-07-17 12:00:00,2025-07-18 13:00:00,3428.8625,3645.386,2.9164,10000.0,6.31%,631.47,TIEMPO_MAX,94.66999816894531%
SHY,LONG,Renta Fija (Bonds),2025-08-01 09:00:00,2025-08-08 16:00:00,80.4496,80.4107,745.81,60000.0,-0.05%,-29.03,ROTACION_TESORERIA,SMA200_FILTRO
ETH-USD,LONG,Criptomoneda,2025-08-05 02:00:00,2025-08-06 03:00:00,3678.6018,3584.4966,2.7184,10000.0,-2.56%,-255.82,TIEMPO_MAX,94.04000091552734%
ETH-USD,LONG,Criptomoneda,2025-08-09 07:00:00,2025-08-10 08:00:00,4170.9331,4211.3418,2.3975,10000.0,0.97%,96.88,TIEMPO_MAX,93.05999755859375%
BTC-USD,LONG,Criptomoneda,2025-08-09 11:00:00,2025-08-10 12:00:00,117119.1172,118530.4922,0.0854,10000.0,1.21%,120.51,TIEMPO_MAX,92.5999984741211%
GOLD,LONG,Materia Prima,2025-09-03 18:00:00,2025-09-09 16:00:00,3628.8,3684.2,2.7557,10000.0,1.53%,152.67,TIEMPO_MAX,96.2699966430664%
SHY,LONG,Renta Fija (Bonds),2025-09-05 09:00:00,2025-09-12 16:00:00,80.9544,80.9641,741.16,60000.0,0.01%,7.24,ROTACION_TESORERIA,SMA200_FILTRO
GOLD,LONG,Materia Prima,2025-09-23 14:00:00,2025-09-29 12:00:00,3806.3999,3843.5,2.6272,10000.0,0.97%,97.47,TIEMPO_MAX,95.0%
GOLD,LONG,Materia Prima,2025-10-01 01:00:00,2025-10-07 05:00:00,3896.5,3987.3,2.5664,10000.0,2.33%,233.03,TIEMPO_MAX,94.80000305175781%
BTC-USD,LONG,Criptomoneda,2025-10-02 23:00:00,2025-10-04 00:00:00,120656.9844,122158.2656,0.0829,10000.0,1.24%,124.43,TIEMPO_MAX,97.55999755859375%
ETH-USD,LONG,Criptomoneda,2025-10-03 03:00:00,2025-10-04 04:00:00,4504.0972,4494.6655,2.2202,10000.0,-0.21%,-20.94,TIEMPO_MAX,95.83999633789062%
GOLD,LONG,Materia Prima,2025-10-07 14:00:00,2025-10-13 12:00:00,4009.0,4099.2998,2.4944,10000.0,2.25%,225.24,TIEMPO_MAX,93.87999725341797%
SHY,LONG,Renta Fija (Bonds),2025-10-09 09:00:00,2025-10-16 16:00:00,81.0777,81.3812,740.03,60000.0,0.37%,224.67,ROTACION_TESORERIA,SMA200_FILTRO
GOLD,LONG,Materia Prima,2025-10-14 17:00:00,2025-10-20 15:00:00,4164.2002,4366.0,2.4014,10000.0,4.85%,484.61,TIEMPO_MAX,97.47000122070312%
