Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
FCC,LONG,Bolsa Española (IBEX),2025-01-02 09:00:00,2025-01-27 10:00:00,8.87,9.24,886.0,7857.16,4.17%,319.89,TIEMPO_MAX,96.34%
MRL,LONG,Bolsa Española (IBEX),2025-01-02 13:00:00,2025-01-13 09:00:00,9.7419,9.6873,959.0,9344.05,-0.56%,-61.72,TRAILING_STOP,93.6%
LDA,LONG,Bolsa Española (IBEX),2025-01-06 09:00:00,2025-01-08 12:00:00,1.088,1.0369,8588.0,9344.05,-4.7%,-448.51,TRAILING_STOP,98.34%
CIE,LONG,Bolsa Española (IBEX),2025-01-09 09:00:00,2025-02-03 10:00:00,24.85,25.1,364.0,9056.23,1.01%,82.05,TIEMPO_MAX,96.04%
MTS,LONG,Bolsa Española (IBEX),2025-01-09 09:00:00,2025-01-31 15:00:00,21.32,24.21,425.0,9056.23,13.56%,1218.55,TIEMPO_MAX,95.21%
BP.L,LONG,Bolsa de Londres (FTSE),2025-01-10 14:00:00,2025-01-14 13:00:00,432.35,417.3715,23.1294,10000.0,-3.46%,-346.44,TRAILING_STOP,99.23999786376953%
SHEL.L,LONG,Bolsa de Londres (FTSE),2025-01-10 14:00:00,2025-01-24 15:00:00,2655.5,2634.6982,3.7658,10000.0,-0.78%,-78.33,TRAILING_STOP,98.30999755859375%
LDA,LONG,Bolsa Española (IBEX),2025-01-13 09:00:00,2025-02-04 16:00:00,1.006,1.228,8623.0,8674.79,22.07%,1905.64,TIEMPO_MAX,97.17%
BKT,LONG,Bolsa Española (IBEX),2025-01-13 09:00:00,2025-01-23 09:00:00,7.5912,7.5076,2285.0,17349.58,-1.1%,-208.31,TRAILING_STOP,96.14%
ENG,LONG,Bolsa Española (IBEX),2025-01-13 14:00:00,2025-02-05 11:00:00,10.4518,10.7993,1658.0,17326.11,3.32%,558.73,TIEMPO_MAX,93.7%
IDR,LONG,Bolsa Española (IBEX),2025-01-13 15:00:00,2025-01-27 09:00:00,17.6239,17.9682,983.0,17326.11,1.95%,321.19,TRAILING_STOP,93.41%
ANE,LONG,Bolsa Española (IBEX),2025-01-16 09:00:00,2025-01-27 14:00:00,18.4022,17.5657,942.0,17326.11,-4.55%,-804.95,TRAILING_STOP,96.92%
