Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
FCC,LONG,BULL,2025-01-02 09:00:00,2025-01-27 10:00:00,8.87,9.24,886,7857.16,4.17%,319.89,TIEMPO_MAX,96.34%
MRL,LONG,BULL,2025-01-02 13:00:00,2025-01-13 09:00:00,9.7419,9.6873,959,9344.05,-0.56%,-61.72,TRAILING_STOP,93.6%
LDA,LONG,BULL,2025-01-06 09:00:00,2025-01-08 12:00:00,1.088,1.0369,8588,9344.05,-4.7%,-448.51,TRAILING_STOP,98.34%
CIE,LONG,BULL,2025-01-09 09:00:00,2025-02-03 10:00:00,24.85,25.1,364,9056.23,1.01%,82.05,TIEMPO_MAX,96.04%
MTS,LONG,BULL,2025-01-09 09:00:00,2025-01-31 15:00:00,21.32,24.21,425,9056.23,13.56%,1218.55,TIEMPO_MAX,95.21%
LDA,LONG,BULL,2025-01-13 09:00:00,2025-02-04 16:00:00,1.006,1.228,8623,8674.79,22.07%,1905.64,TIEMPO_MAX,97.17%
BKT,LONG,BULL,2025-01-13 09:00:00,2025-01-23 09:00:00,7.5912,7.5076,2285,17349.58,-1.1%,-208.31,TRAILING_STOP,96.14%
ENG,LONG,BULL,2025-01-13 14:00:00,2025-02-05 11:00:00,10.4518,10.7993,1658,17326.11,3.32%,558.73,TIEMPO_MAX,93.7%
IDR,LONG,BULL,2025-01-13 15:00:00,2025-01-27 09:00:00,17.6239,17.9682,983,17326.11,1.95%,321.19,TRAILING_STOP,93.41%
ANE,LONG,BULL,2025-01-16 09:00:00,2025-01-27 14:00:00,18.4022,17.5657,942,17326.11,-4.55%,-804.95,TRAILING_STOP,96.92%
PHM,LONG,BULL,2025-01-23 09:00:00,2025-02-14 15:00:00,80.3,97.6,207,16603.58,21.54%,3560.51,TIEMPO_MAX,96.09%
ANA,LONG,BULL,2025-01-27 09:00:00,2025-02-18 15:00:00,106.0833,105.0224,177,18781.85,-1.0%,-206.61,TIEMPO_MAX,96.34%
VIS,LONG,BULL,2025-01-27 09:00:00,2025-02-18 16:00:00,59.9,61.0,151,9015.29,1.84%,156.54,TIEMPO_MAX,96.24%
MEL,LONG,BULL,2025-01-27 11:00:00,2025-02-18 17:00:00,6.95,7.255,1355,9416.52,4.39%,403.83,TIEMPO_MAX,93.26%
LOG,LONG,BULL,2025-01-30 09:00:00,2025-02-21 15:00:00,25.6394,25.9559,365,9352.12,1.23%,106.09,TIEMPO_MAX,96.63%
ALM,LONG,BULL,2025-01-30 09:00:00,2025-02-07 09:00:00,9.57,9.1202,977,9352.12,-4.7%,-448.9,TRAILING_STOP,96.09%
DOM,LONG,BULL,2025-02-03 09:00:00,2025-02-13 10:00:00,3.065,3.0901,3083,9449.6,0.82%,68.09,TRAILING_STOP,96.24%
IDR,LONG,BULL,2025-02-06 09:00:00,2025-02-28 15:00:00,16.3927,20.7317,1178,19306.64,26.47%,5090.99,TIEMPO_MAX,97.61%
TRE,LONG,BULL,2025-02-06 09:00:00,2025-02-18 09:00:00,15.17,15.0066,636,9653.32,-1.08%,-113.63,TRAILING_STOP,96.83%
FCC,LONG,BULL,2025-02-06 09:00:00,2025-02-21 14:00:00,9.81,10.4706,984,9653.32,6.73%,640.4,TRAILING_STOP,96.73%
ALM,LONG,BULL,2025-02-13 10:00:00,2025-02-24 09:00:00,9.1,9.313,1057,9622.85,2.34%,215.59,TRAILING_STOP,94.92%
CIE,LONG,BULL,2025-02-17 09:00:00,2025-02-28 09:00:00,24.55,23.3961,404,9907.69,-4.7%,-475.57,TRAILING_STOP,97.56%
ROVI,LONG,BULL,2025-02-17 09:00:00,2025-02-28 10:00:00,53.9914,52.2301,184,9907.69,-3.26%,-333.12,TRAILING_STOP,96.92%
COL,LONG,BULL,2025-02-20 09:00:00,2025-02-28 09:00:00,5.189,5.3535,3673,19059.65,3.17%,585.23,TRAILING_STOP,96.39%
ENG,LONG,BULL,2025-02-20 09:00:00,2025-03-06 09:00:00,10.728,10.7863,1777,19059.65,0.54%,84.56,TRAILING_STOP,96.24%
MAP,LONG,BULL,2025-02-20 09:00:00,2025-03-14 15:00:00,2.5605,2.6914,3722,9529.83,5.11%,477.66,TIEMPO_MAX,96.04%
NTGY,LONG,BULL,2025-02-24 09:00:00,2025-03-05 13:00:00,23.362,22.264,822,19207.43,-4.7%,-921.96,TRAILING_STOP,97.36%
DOM,LONG,BULL,2025-02-24 09:00:00,2025-03-11 15:00:00,2.785,2.7878,3592,10003.87,0.1%,-0.13,TRAILING_STOP,96.58%
CIE,LONG,BULL,2025-03-03 09:00:00,2025-03-04 13:00:00,22.45,21.8767,427,9578.44,-2.55%,-254.16,TRAILING_STOP,97.12%
GRF,LONG,BULL,2025-03-03 09:00:00,2025-03-06 12:00:00,10.6353,10.4975,3518,37415.78,-1.3%,-522.09,TRAILING_STOP,97.07%
SLR,LONG,BULL,2025-03-03 09:00:00,2025-03-04 12:00:00,7.835,7.6876,2653,20786.54,-1.88%,-411.91,TRAILING_STOP,96.88%
MTS,LONG,BULL,2025-03-06 09:00:00,2025-03-10 09:00:00,31.66,30.3818,287,9088.89,-4.04%,-376.05,TRAILING_STOP,96.78%
ACS,LONG,BULL,2025-03-06 09:00:00,2025-03-11 15:00:00,55.45,53.0145,341,18935.18,-4.39%,-850.62,TRAILING_STOP,96.78%
VIS,LONG,BULL,2025-03-06 09:00:00,2025-03-28 15:00:00,60.4,64.4,150,9088.89,6.62%,592.82,TIEMPO_MAX,97.12%
ENC,LONG,BULL,2025-03-06 09:00:00,2025-03-10 09:00:00,3.398,3.2383,2675,9088.89,-4.7%,-436.27,TRAILING_STOP,97.02%
PHM,LONG,BULL,2025-03-06 09:00:00,2025-03-10 10:00:00,97.9,93.3187,193,18935.18,-4.68%,-905.01,TRAILING_STOP,96.88%
REP,LONG,BULL,2025-03-06 15:00:00,2025-03-31 12:00:00,10.948,11.1136,3230,35359.12,1.51%,499.48,TIEMPO_MAX,93.07%
LDA,LONG,BULL,2025-03-10 09:00:00,2025-04-01 13:00:00,1.186,1.1775,6989,8289.28,-0.72%,-67.91,TRAILING_STOP,97.56%
FCC,LONG,BULL,2025-03-10 09:00:00,2025-04-02 13:00:00,10.3,10.36,805,8289.28,0.58%,40.0,TIEMPO_MAX,95.8%
ALM,LONG,BULL,2025-03-10 09:00:00,2025-03-31 12:00:00,9.955,9.8752,833,8289.28,-0.8%,-74.7,TRAILING_STOP,95.46%
ANE,LONG,BULL,2025-03-10 10:00:00,2025-03-27 09:00:00,16.9649,16.9559,1053,17860.77,-0.05%,-27.39,TRAILING_STOP,93.7%
